Subject Code,Student Number
FILDIS-18,23-19239-200
FILDIS-18,23-13231-593
FILDIS-18,23-43924-232
FILDIS-18,23-84192-249
FILDIS-18,23-47712-442
FILDIS-18,23-00022-232
FILDIS-18,23-81832-233
FILDIS-18,23-58393-223
FILDIS-18,23-12322-333
FILDIS-18,23-13923-534
FILDIS-18,23-53894-232
FILDIS-18,23-12002-222
FILDIS-18,23-48209-223
FILDIS-18,23-48298-234
FILDIS-18,23-48387-232
FILDIS-18,23-49980-222
FILDIS-18,23-84033-438
FILDIS-18,23-12920-293
FILDIS-18,23-12080-218
FILDIS-18,22-12039-222
