Subject Code,Student Number
PE3 ID-18,23-19239-200
PE3 ID-18,23-13231-593
PE3 ID-18,23-43924-232
PE3 ID-18,23-84192-249
PE3 ID-18,23-47712-442
PE3 ID-18,23-00022-232
PE3 ID-18,23-81832-233
PE3 ID-18,23-58393-223
PE3 ID-18,23-12322-333
PE3 ID-18,23-13923-534
PE3 ID-18,23-53894-232
PE3 ID-18,23-12002-222
PE3 ID-18,23-48209-223
PE3 ID-18,23-48298-234
PE3 ID-18,23-48387-232
PE3 ID-18,23-49980-222
PE3 ID-18,23-84033-438
PE3 ID-18,23-12920-293
PE3 ID-18,22-12039-222
PE3 ID-18,21-38884-945
PE3 ID-18,22-43978-343
