Subject Code,Student Number
CCC211-18,23-12030-203
CCC211-18,23-12301-232
CCC211-18,23-12332-232
CCC211-18,23-10022-302
CCC211-18,23-02223-434
CCC211-18,23-54843-334
CCC211-18,23-12999-232
CCC211-18,23-43843-434
CCC211-18,23-54922-343
CCC211-18,23-42883-334
CCC211-18,23-43934-231
CCC211-18,23-37820-200
CCC211-18,23-42938-438
CCC211-18,23-43990-344
CCC211-18,23-48712-323
CCC211-18,23-49348-239
CCC211-18,23-43842-331
CCC211-18,23-49348-232
CCC211-18,23-57845-259
CCC211-18,23-54387-232
CCC211-18,23-43784-234
CCC211-18,23-85893-292
CCC211-18,23-49124-433
CCC211-18,21-38273-232
CCC211-18,23-48734-233
