Subject Code,Student Number
CCL211-18,23-12030-203
CCL211-18,23-12301-232
CCL211-18,23-12332-232
CCL211-18,23-10022-302
CCL211-18,23-02223-434
CCL211-18,23-54843-334
CCL211-18,23-12999-232
CCL211-18,23-43843-434
CCL211-18,23-54922-343
CCL211-18,23-42883-334
CCL211-18,23-43934-231
CCL211-18,23-37820-200
CCL211-18,23-42938-438
CCL211-18,23-43990-344
CCL211-18,23-48712-323
CCL211-18,23-49348-239
CCL211-18,23-43842-331
CCL211-18,23-49348-232
CCL211-18,23-57845-259
CCL211-18,23-54387-232
CCL211-18,23-43784-234
CCL211-18,23-85893-292
CCL211-18,23-49124-433
CCL211-18,21-38273-232
CCL211-18,23-48734-233
