Subject Code,Student Number
CCS213-18,23-12030-203
CCS213-18,23-12301-232
CCS213-18,23-12332-232
CCS213-18,23-10022-302
CCS213-18,23-02223-434
CCS213-18,23-54843-334
CCS213-18,23-12999-232
CCS213-18,23-43843-434
CCS213-18,23-54922-343
CCS213-18,23-42883-334
CCS213-18,23-43934-231
CCS213-18,23-37820-200
CCS213-18,23-42938-438
CCS213-18,23-43990-344
CCS213-18,23-48712-323
CCS213-18,23-49348-239
CCS213-18,23-43842-331
CCS213-18,23-49348-232
CCS213-18,23-57845-259
CCS213-18,23-54387-232
CCS213-18,23-43784-234
CCS213-18,23-85893-292
CCS213-18,23-49124-433
CCS213-18,23-48391-243
