Subject Code,Student Number
FILDIS-18,23-12030-203
FILDIS-18,23-12301-232
FILDIS-18,23-12332-232
FILDIS-18,23-10022-302
FILDIS-18,23-02223-434
FILDIS-18,23-54843-334
FILDIS-18,23-12999-232
FILDIS-18,23-43843-434
FILDIS-18,23-54922-343
FILDIS-18,23-42883-334
FILDIS-18,23-43934-231
FILDIS-18,23-37820-200
FILDIS-18,23-42938-438
FILDIS-18,23-43990-344
FILDIS-18,23-48712-323
FILDIS-18,23-49348-239
FILDIS-18,23-43842-331
FILDIS-18,23-49348-232
FILDIS-18,23-57845-259
FILDIS-18,23-54387-232
FILDIS-18,23-43784-234
FILDIS-18,23-85893-292
FILDIS-18,23-49124-433
FILDIS-18,23-49348-233
FILDIS-18,22-28822-222
