Subject Code,Student Number
GECLWR-18,23-12030-203
GECLWR-18,23-12301-232
GECLWR-18,23-12332-232
GECLWR-18,23-10022-302
GECLWR-18,23-02223-434
GECLWR-18,23-54843-334
GECLWR-18,23-12999-232
GECLWR-18,23-43843-434
GECLWR-18,23-54922-343
GECLWR-18,23-42883-334
GECLWR-18,23-43934-231
GECLWR-18,23-37820-200
GECLWR-18,23-42938-438
GECLWR-18,23-43990-344
GECLWR-18,23-48712-323
GECLWR-18,23-49348-239
GECLWR-18,23-43842-331
GECLWR-18,23-49348-232
GECLWR-18,23-57845-259
GECLWR-18,23-54387-232
GECLWR-18,23-43784-234
GECLWR-18,23-85893-292
GECLWR-18,23-49124-433
GECLWR-18,21-38273-232
