Subject Code,Student Number
PE3 ID-18,23-12030-203
PE3 ID-18,23-12301-232
PE3 ID-18,23-12332-232
PE3 ID-18,23-10022-302
PE3 ID-18,23-02223-434
PE3 ID-18,23-54843-334
PE3 ID-18,23-12999-232
PE3 ID-18,23-43843-434
PE3 ID-18,23-54922-343
PE3 ID-18,23-42883-334
PE3 ID-18,23-43934-231
PE3 ID-18,23-37820-200
PE3 ID-18,23-42938-438
PE3 ID-18,23-43990-344
PE3 ID-18,23-48712-323
PE3 ID-18,23-49348-239
PE3 ID-18,23-43842-331
PE3 ID-18,23-49348-232
PE3 ID-18,23-57845-259
PE3 ID-18,23-54387-232
PE3 ID-18,23-43784-234
PE3 ID-18,23-85893-292
PE3 ID-18,23-49124-433
