Subject Code,Student Number
GECSTS-18,23-19239-200
GECSTS-18,23-13231-593
GECSTS-18,23-43924-232
GECSTS-18,23-84192-249
GECSTS-18,23-47712-442
GECSTS-18,23-00022-232
GECSTS-18,23-81832-233
GECSTS-18,23-58393-223
GECSTS-18,23-12322-333
GECSTS-18,23-13923-534
GECSTS-18,23-53894-232
GECSTS-18,23-12002-222
GECSTS-18,23-48209-223
GECSTS-18,23-48298-234
GECSTS-18,23-48387-232
GECSTS-18,23-49980-222
GECSTS-18,23-84033-438
GECSTS-18,23-12920-293
GECSTS-18,23-12080-218
GECSTS-18,23-29482-223
GECSTS-18,23-84930-433
GECSTS-18,23-49348-233
GECSTS-18,22-12039-222
GECSTS-18,21-38884-945
GECSTS-18,22-43978-343
