Subject Code,Student Number
GECTCW-18,23-19239-200
GECTCW-18,23-13231-593
GECTCW-18,23-43924-232
GECTCW-18,23-84192-249
GECTCW-18,23-47712-442
GECTCW-18,23-00022-232
GECTCW-18,23-81832-233
GECTCW-18,23-58393-223
GECTCW-18,23-12322-333
GECTCW-18,23-13923-534
GECTCW-18,23-53894-232
GECTCW-18,23-12002-222
GECTCW-18,23-48209-223
GECTCW-18,23-48298-234
GECTCW-18,23-48387-232
GECTCW-18,23-49980-222
GECTCW-18,23-84033-438
GECTCW-18,23-12920-293
GECTCW-18,21-38884-945
GECTCW-18,22-43978-343
